id,number_of_epochs,model,architecture,object,optimizer,loss,learning_rate,sequence_len,number_of_layers,test_r2
89,400,Generation,GRU,solar_30k,Adam,MAPE,0.001,36,2,-0.438867
90,50,Generation,GRU,solar_30k,Adam,MAPE,0.001,36,4,-0.449055
90,100,Generation,GRU,solar_30k,Adam,MAPE,0.001,36,4,-0.444158
90,200,Generation,GRU,solar_30k,Adam,MAPE,0.001,36,4,-0.443027
90,400,Generation,GRU,solar_30k,Adam,MAPE,0.001,36,4,-0.442459
91,50,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.0001,1,2,-0.310329
91,100,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.0001,1,2,-0.232906
91,200,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.0001,1,2,0.551975
91,400,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.0001,1,2,0.73438
92,50,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.0001,1,4,0.665924
92,100,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.0001,1,4,0.759297
92,200,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.0001,1,4,0.820432
92,400,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.0001,1,4,0.852292
97,50,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,12,2,-0.450606
97,100,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,12,2,-0.44708
97,200,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,12,2,-0.444591
97,400,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,12,2,-0.445209
98,50,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,12,4,-0.443697
98,100,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,12,4,-0.443264
98,200,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,12,4,-0.442792
98,400,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,12,4,-0.442299
99,50,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,24,2,-0.426231
99,100,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,24,2,-0.440653
99,200,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,24,2,-0.436071
99,400,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,24,2,-0.439898
100,50,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,24,4,-0.442919
100,100,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,24,4,-0.4404
100,200,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,24,4,-0.440586
100,400,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,24,4,-0.442369
101,50,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,36,2,-0.433703
101,100,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,36,2,-0.437008
101,200,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,36,2,-0.438602
101,400,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,36,2,-0.439264
102,50,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,36,4,-0.442839
102,100,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,36,4,-0.443871
102,200,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,36,4,-0.442984
102,400,Generation,LSTM,solar_30k,Adam,MAPE,0.0001,36,4,-0.442093
103,50,Generation,GRU,solar_30k,Adam,MAPE,0.0001,12,2,-0.449495
103,100,Generation,GRU,solar_30k,Adam,MAPE,0.0001,12,2,-0.445836
103,200,Generation,GRU,solar_30k,Adam,MAPE,0.0001,12,2,-0.448202
103,400,Generation,GRU,solar_30k,Adam,MAPE,0.0001,12,2,-0.45184
104,50,Generation,GRU,solar_30k,Adam,MAPE,0.0001,12,4,-0.448148
104,100,Generation,GRU,solar_30k,Adam,MAPE,0.0001,12,4,-0.444677
104,200,Generation,GRU,solar_30k,Adam,MAPE,0.0001,12,4,-0.447732
104,400,Generation,GRU,solar_30k,Adam,MAPE,0.0001,12,4,-0.443733
105,50,Generation,GRU,solar_30k,Adam,MAPE,0.0001,24,2,-0.492266
105,100,Generation,GRU,solar_30k,Adam,MAPE,0.0001,24,2,-0.485471
105,200,Generation,GRU,solar_30k,Adam,MAPE,0.0001,24,2,-0.469242
105,400,Generation,GRU,solar_30k,Adam,MAPE,0.0001,24,2,-0.455449
